"hip","proper","ra","dec","mag","absmag","t_eff","con","constellations","const_name"
94720,,19.274108,14.544616,5.65,0.155,9839,"Aql",0,
94724,,19.274612,-69.190825,6.25,-0.195,7809,"Pav",0,
94727,,19.275287,4.834795,5.59,-0.49,8447,"Aql",0,
94755,,19.280941,46.999102,6.02,2.902,6374,"Cyg",0,
94770,,19.283479,-65.227702,6.42,-0.443,10314,"Pav",0,
94779,,19.28504,53.368459,3.8,0.897,4948,"Cyg",6,"Cygnus"
94789,,19.286729,-66.661048,5.52,0.711,7952,"Pav",0,
94820,,19.293911,-18.952908,4.88,-0.967,4824,"Sgr",5,"Sagittarius"
94827,,19.295454,23.02554,5.46,-2.399,9262,"Vul",0,
94833,,19.296718,2.031727,6.19,1.512,9275,"Aql",0,
94834,,19.296944,11.595422,5.28,-0.243,7791,"Aql",0,
94858,,19.302714,-53.387086,6.36,3.091,6264,"Tel",0,
94885,,19.309026,1.085129,5.1,-0.18,4588,"Aql",0,
94890,,19.310518,49.569456,6.32,0.651,4623,"Cyg",0,
94910,,19.313447,19.610477,6.5,-0.399,9619,"Sge",0,
94913,,19.314151,0.339024,6.4,0.88,4755,"Aql",0,
94916,,19.314654,9.61807,6.31,0.532,4728,"Aql",0,
94929,,19.316694,-15.53657,6.09,0.243,4127,"Sgr",0,
94932,,19.316987,37.445346,6.25,-0.153,9366,"Lyr",0,
94974,,19.326786,54.375987,6.23,0.237,9140,"Cyg",0,
94981,,19.327502,37.330539,6.29,4.267,5638,"Lyr",0,
94982,,19.327597,12.37468,5.53,0.457,7402,"Aql",0,
94986,,19.327776,-35.421452,5.59,-1.616,12443,"Sgr",0,
95002,,19.331407,11.534965,6.03,1.474,8565,"Aql",0,
95038,,19.337783,57.645129,5.91,-1.01,3712,"Dra",0,
95066,,19.342473,-5.415766,4.98,1.607,4975,"Aql",0,
95067,,19.342515,35.185957,6.3,-0.998,11434,"Lyr",0,
95073,,19.343246,-0.892161,5.46,-0.179,10215,"Aql",0,
95077,,19.34393,-22.402535,5.59,1.874,7343,"Sgr",0,
95081,,19.344467,65.714531,4.6,0.369,9105,"Dra",2,"Draco"
95149,,19.358263,-34.983487,6.48,5.105,5796,"Sgr",0,
95154,,19.35987,76.559596,6.22,-1.714,,"Dra",0,
95159,,19.360309,-19.234446,6.25,-0.649,11405,"Sgr",0,
95167,,19.361182,79.60283,6.06,0.898,8700,"Dra",0,
95168,,19.361211,-17.847197,3.92,0.969,7605,"Sgr",5,"Sagittarius"
95176,,19.362117,-15.955018,4.52,-4.168,8635,"Sgr",2,"Sagittarius"
95188,,19.364137,-18.308388,5.84,0.801,4733,"Sgr",0,
95211,,19.369316,-42.016026,6.33,1.304,4613,"Sgr",0,
95222,,19.372651,-0.252345,5.81,0.73,4677,"Aql",0,
95235,,19.375931,33.518163,6.09,0.885,4751,"Lyr",0,
95239,,19.377147,-51.231276,6.42,2.134,7077,"Tel",0,
95241,"Arkab Prior",19.377303,-44.458965,3.96,-0.955,11235,"Sgr",3,"Sagittarius"
95253,,19.380097,9.91315,6.34,3.466,6465,"Aql",0,
95260,,19.380801,26.262403,5.22,-0.185,12329,"Vul",0,
95261,,19.380888,-54.423931,5.03,1.614,9262,"Tel",0,
95281,,19.384569,-7.400615,6.31,0.685,4068,"Aql",0,
95294,"Arkab Posterior",19.386976,-44.799778,4.27,1.199,6968,"Sgr",2,"Sagittarius"
95319,,19.392779,33.221966,6.37,5.382,5276,"Lyr",0,
95340,,19.396369,20.264356,6.4,-1.726,9352,"Vul",0,
95347,"Rukbat",19.398103,-40.61594,3.96,0.229,11838,"Sgr",4,"Sagittarius"
95352,,19.399027,43.388171,5.85,0.196,5002,"Lyr",0,
95369,,19.401528,-68.371082,6.33,-0.287,4426,"Pav",0,
95370,,19.401682,36.452094,6.44,1.014,4711,"Lyr",0,
95372,,19.402105,29.621338,4.99,-2.071,12367,"Cyg",0,
95396,,19.405964,-43.722063,6.13,-0.441,3772,"Sgr",0,
95398,,19.406131,16.937722,6.27,1.022,8672,"Sge",0,
95408,,19.408383,-27.865945,6.03,-1.153,12255,"Sgr",0,
95447,,19.416164,11.944415,5.17,4.264,5388,"Aql",0,
95453,,19.417092,-4.884536,6.5,1.331,7017,"Aql",0,
95456,,19.41779,-29.309359,5.91,1.107,4359,"Sgr",0,
95477,,19.421247,-24.508575,5.02,0.581,7566,"Sgr",2,"Sagittarius"
95485,,19.422665,-13.89713,5.72,-0.229,4205,"Sgr",0,
95487,,19.422887,20.271727,6.31,0.473,9742,"Vul",0,
95492,,19.423824,24.912774,6.19,4.002,6170,"Vul",0,
95498,,19.424611,19.798365,5.14,0.538,4851,"Vul",0,
